2606021640_alldets ij = 1261.0,351.0 = ScoX1+   0.2,  -0.4 ra,dec = 203.26,-27.49   22.0 σ for 548 s at 24 cps 4 dets
2606021810_alldets ij = 1165.0,333.0 = ScoX1+   0.2,  -0.1 ra,dec = 210.06,-45.63   14.7 σ for 537 s at 94 cps 4 dets
2606021820_alldets ij = 1316.0,373.0 = ScoX1+   0.2,   0.4 ra,dec = 203.97,-18.33   21.8 σ for 549 s at 55 cps 4 dets
2606031155_alldets ij = 1159.0,382.0 = ScoX1+   0.0,   0.6 ra,dec = 212.94,-45.79   22.3 σ for 578 s at 27 cps 4 dets
2606031331_alldets ij = 1148.0,439.0 = ScoX1+   0.0,  -0.2 ra,dec = 217.77,-46.87   28.1 σ for 577 s at 55 cps 4 dets
2606031503_alldets ij = 1109.0,677.0 = ScoX1+   0.1,   0.5 ra,dec = 238.84,-46.11   12.3 σ for 379 s at 330 cps 4 dets
2606031513_alldets ij = 1214.0,161.0 = ScoX1+  -0.6,  -0.6 ra,dec = 197.80,-37.01   20.5 σ for 500 s at 27 cps 4 dets
2606031643_alldets ij = 1132.0,527.0 = ScoX1+   0.1,   0.2 ra,dec = 225.43,-47.54    8.9 σ for 489 s at 242 cps 4 dets
2606031823_alldets ij = 1163.0,373.0 = ScoX1+   0.5,   0.3 ra,dec = 211.81,-45.17   15.6 σ for 537 s at 108 cps 4 dets
2606032003_alldets ij = 1201.0,219.0 = ScoX1+  -0.3,  -0.3 ra,dec = 200.90,-39.39   20.9 σ for 537 s at 18 cps 3 dets
2606032043_alldets ij = 1660.0,358.0 = ScoX1+  -0.5,   0.5 ra,dec = 272.20, 13.06    8.0 σ for 537 s at 173 cps 3 dets
2606032143_alldets ij = 1251.0, 69.0 = ScoX1+   0.8,  -0.6 ra,dec = 193.48,-31.01    5.9 σ for 549 s at 110 cps 4 dets
2606032222_alldets ij = 1628.0,513.0 = ScoX1+  -0.7,   0.3 ra,dec = 272.65,  4.65   27.3 σ for 563 s at 75 cps 4 dets
2606032352_alldets ij = 1698.0,144.0 = ScoX1+  -0.0,   0.1 ra,dec = 267.98, 24.54    8.1 σ for 563 s at 136 cps 4 dets
2606040002_alldets ij = 1591.0,663.0 = ScoX1+   0.2,   0.2 ra,dec = 271.08, -2.90   20.0 σ for 549 s at 102 cps 4 dets
2606040402_alldets ij = 1139.0,490.0 = ScoX1+  -0.1,   0.3 ra,dec = 221.28,-46.89   27.0 σ for 505 s at 59 cps 4 dets
2606040542_alldets ij = 1175.0,336.0 = ScoX1+   0.2,  -0.6 ra,dec = 208.38,-43.34   19.2 σ for 505 s at 46 cps 4 dets
2606040622_alldets ij = 1686.0,240.0 = ScoX1+   0.1,   0.2 ra,dec = 271.05, 19.04   16.9 σ for 537 s at 57 cps 4 dets
2606041430_alldets ij = 1641.0,460.0 = ScoX1+  -0.1,   0.9 ra,dec = 273.41,  6.72   10.6 σ for 473 s at 254 cps 3 dets
2606041531_alldets ij = 1317.0, 59.0 = ScoX1+   0.5,  -1.0 ra,dec = 193.32,-21.38    8.3 σ for 196 s at 18 cps 4 dets
2606041611_alldets ij = 1592.0,638.0 = ScoX1+  -0.5,   0.3 ra,dec = 271.75, -2.29   24.7 σ for 551 s at 105 cps 4 dets
2606041701_alldets ij = 1193.0,291.0 = ScoX1+   0.2,   0.2 ra,dec = 204.63,-40.70   20.8 σ for 511 s at 44 cps 4 dets
2606041741_alldets ij = 1678.0,298.0 = ScoX1+  -0.8,   0.9 ra,dec = 272.70, 15.31    7.3 σ for 432 s at 299 cps 4 dets
2606041751_alldets ij = 1534.0,807.0 = ScoX1+  -0.6,  -0.1 ra,dec = 267.76, -9.36   19.3 σ for 550 s at 167 cps 4 dets
2606041922_alldets ij = 1636.0,480.0 = ScoX1+   0.2,  -0.1 ra,dec = 273.52,  5.43   23.6 σ for 567 s at 42 cps 4 dets
2606042152_alldets ij = 1202.0,269.0 = ScoX1+  -0.4,  -0.3 ra,dec = 203.07,-39.37   26.6 σ for 540 s at 34 cps 4 dets
2606042232_alldets ij = 1675.0,320.0 = ScoX1+  -0.3,   0.9 ra,dec = 273.24, 13.87   20.0 σ for 540 s at 55 cps 4 dets
2606050544_alldets ij = 1057.0,906.0 = ScoX1+   0.2,   0.1 ra,dec = 253.54,-38.54    8.8 σ for 375 s at 329 cps 4 dets
2606050554_alldets ij = 1165.0,408.0 = ScoX1+  -0.2,  -0.1 ra,dec = 212.60,-43.88   29.0 σ for 552 s at 52 cps 4 dets
2606050634_alldets ij = 1709.0,179.0 = ScoX1+  -0.2,   0.3 ra,dec = 271.44, 21.16   18.9 σ for 539 s at 42 cps 4 dets
2606050724_alldets ij = 1086.0,742.0 = ScoX1+   0.4,   0.4 ra,dec = 241.95,-44.58   12.0 σ for 490 s at 258 cps 4 dets
2606050734_alldets ij = 1223.0,227.0 = ScoX1+  -0.2,  -0.6 ra,dec = 200.33,-36.47   25.1 σ for 554 s at 51 cps 4 dets
